id,code,commonName,className,order,scientificName
5245,PHASUM,Chestnut-bellied Malkoha,AVES,Cuculiformes,Phaenicophaeus sumatranus
5246,PHAVIR,Blue-faced Malkoha,AVES,Cuculiformes,Phaenicophaeus viridirostris
5365,SURVEL,Philippine Drongo-Cuckoo,AVES,Cuculiformes,Surniculus velutinus
5281,PRITHO,Scarlet-breasted Flowerpecker,AVES,Passeriformes,Prionochilus thoracicus
5018,DICANN,Crow-billed Drongo,AVES,Passeriformes,Dicrurus annectens
5019,DIODIO,Snowy Albatross,AVES,Procellariiformes,Diomedea exulans
5052,ERYTRI,Blue-faced Parrotfinch,AVES,Passeriformes,Erythrura trichroa
5053,ESTPAL,Fawn-breasted Waxbill,AVES,Passeriformes,Estrilda paludicola
5117,HYPNIV,Peters's Twinspot,AVES,Passeriformes,Hypargos niveoguttatus
5131,LAGRHO,Jameson's Firefinch,AVES,Passeriformes,Lagonosticta rhodopareia
5146,LONCAS,Chestnut-breasted Munia,AVES,Passeriformes,Lonchura castaneothorax
5147,LONKEL,Black-throated Munia,AVES,Passeriformes,Lonchura kelaarti
5148,LONLEU,Javan Munia,AVES,Passeriformes,Lonchura leucogastroides
5149,LONMAJ,White-headed Munia,AVES,Passeriformes,Lonchura maja
5196,NEOPHA,Crimson Finch,AVES,Passeriformes,Neochmia phaeton
5362,STIBIC,Double-barred Finch,AVES,Passeriformes,Stizoptera bichenovii
5064,FALBER,Brown Falcon,AVES,Falconiformes,Falco berigora
5178,MICFRI,Black-thighed Falconet,AVES,Falconiformes,Microhierax fringillarius
5071,FREAND,Christmas Island Frigatebird,AVES,Suliformes,Fregata andrewsi
4944,CARTHU,Himalayan White-browed Rosefinch,AVES,Passeriformes,Carpodacus thura
4961,CHLCYA,Golden-rumped Euphonia,AVES,Passeriformes,Chlorophonia cyanocephala
4962,HIEU,Hispaniolan Euphonia,AVES,Passeriformes,Chlorophonia musica
4993,CRIATR,Black-throated Canary,AVES,Passeriformes,Crithagra atrogularis
4994,CRIBUC,Southern Grosbeak-Canary,AVES,Passeriformes,Crithagra buchanani
4995,CRIDOR,White-bellied Canary,AVES,Passeriformes,Crithagra dorsostriata
4996,CRIMEN,Yemen Serin,AVES,Passeriformes,Crithagra menachensis
5144,LINYEM,Yemen Linnet,AVES,Passeriformes,Linaria yemenensis
